"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 12:47:11 IST 2022","Tue Nov 29 12:47:16 IST 2022","4484","","Set1 Test flows: TC101 launch URL and search zoopla","","Set1 Test flows: TC101 launch URL and search zoopla","When Search for the term zoopla","When Search for the term zoopla",""
"passed","Tue Nov 29 12:47:20 IST 2022","Tue Nov 29 12:47:34 IST 2022","14622","","Set2 Test flows: TC201 launch URL","","Set2 Test flows: TC201 launch URL","When Input the location as London under the For Sale tab and click the search button","When Input the location as London under the For Sale tab and click the search button",""
"passed","Tue Nov 29 12:47:16 IST 2022","Tue Nov 29 12:47:19 IST 2022","3149","","Set1 Test flows: TC102 open URL and check time taken to load","","Set1 Test flows: TC102 open URL and check time taken to load","Given Open url in another tab check whether the page URL is the same","Given Open url in another tab check whether the page URL is the same",""
"broken","Tue Nov 29 12:48:08 IST 2022","Tue Nov 29 12:48:29 IST 2022","21417","","Set2 Test flows: TC0202 Verify agents page","","Set2 Test flows: TC0202 Verify agents page","Then Verify whether the property is listed on the agent's page using the assertion method","Then Verify whether the property is listed on the agent's page using the assertion method",""
"passed","Tue Nov 29 12:47:09 IST 2022","Tue Nov 29 12:47:20 IST 2022","10866","","Set2 Test flows: TC201 launch URL","","Set2 Test flows: TC201 launch URL","Given Launch the URL","Given Launch the URL",""
"broken","Tue Nov 29 12:47:44 IST 2022","Tue Nov 29 12:48:08 IST 2022","23583","","Set2 Test flows: TC201 launch URL","","Set2 Test flows: TC201 launch URL","Then Click on the logo and go to the agent's page","Then Click on the logo and go to the agent's page",""
"passed","Tue Nov 29 12:48:29 IST 2022","Tue Nov 29 12:48:29 IST 2022","0","","Set2 Test flows: TC0202 Verify agents page","","Set2 Test flows: TC0202 Verify agents page","","",""
"passed","Tue Nov 29 12:47:35 IST 2022","Tue Nov 29 12:47:39 IST 2022","4367","","Set2 Test flows: TC201 launch URL","","Set2 Test flows: TC201 launch URL","Then Print the price values of the first 5 properties in the console","Then Print the price values of the first 5 properties in the console",""
"passed","Tue Nov 29 12:48:08 IST 2022","Tue Nov 29 12:48:08 IST 2022","1","","Set2 Test flows: TC201 launch URL","","Set2 Test flows: TC201 launch URL","","",""
"passed","Tue Nov 29 12:47:34 IST 2022","Tue Nov 29 12:47:35 IST 2022","555","","Set2 Test flows: TC201 launch URL","","Set2 Test flows: TC201 launch URL","Then The result will be the list of properties based on the preferred location","Then The result will be the list of properties based on the preferred location",""
"passed","Tue Nov 29 12:47:16 IST 2022","Tue Nov 29 12:47:16 IST 2022","1","","Set1 Test flows: TC101 launch URL and search zoopla","","Set1 Test flows: TC101 launch URL and search zoopla","","",""
"passed","Tue Nov 29 12:47:39 IST 2022","Tue Nov 29 12:47:43 IST 2022","3799","","Set2 Test flows: TC201 launch URL","","Set2 Test flows: TC201 launch URL","When Select the 3rd property from the list","When Select the 3rd property from the list",""
"passed","Tue Nov 29 12:47:09 IST 2022","Tue Nov 29 12:47:11 IST 2022","2606","","Set1 Test flows: TC101 launch URL and search zoopla","","Set1 Test flows: TC101 launch URL and search zoopla","Given lunch url","Given lunch url",""
"passed","Tue Nov 29 12:47:19 IST 2022","Tue Nov 29 12:47:19 IST 2022","1","","Set1 Test flows: TC102 open URL and check time taken to load","","Set1 Test flows: TC102 open URL and check time taken to load","","",""
"passed","Tue Nov 29 12:47:43 IST 2022","Tue Nov 29 12:47:44 IST 2022","1268","","Set2 Test flows: TC201 launch URL","","Set2 Test flows: TC201 launch URL","When On selecting the property, there is a logo, name, and telephone number of the agent","When On selecting the property, there is a logo, name, and telephone number of the agent",""
